benchmark_id,method,rep_id,seed,feasible,runtime_seconds,m0,m1,n_sites,pehe,ate_hat,ate_abs_err,ate_bias,tau_corr,tau_kendall,topk_10_ratio,topk_20_ratio,topk_30_ratio,topk_10_captured,topk_20_captured,qini_auc,calib_slope,calib_intercept,calib_r2,tau_ece,tau_mce,policy_value,policy_regret,policy_value_top20,policy_regret_top20,mu0_rmse,mu1_rmse,diag_realization_id,diag_n_sites
ihdp_disconnected_sweep,ProxyOnly,1,1466947376,FEASIBLE,4.354405403137207,25,0,6,1.519691696829131,5.174808844470107,0.5994691120612314,0.5994691120612314,0.36,0.25999999999999995,0.8284542603054621,0.9634120788340398,0.9729666467290029,4.82260889134646,5.327902996799893,0.43957767179290513,0.17135429610900774,3.6886140053660337,0.1727041628034507,1.287556899120916,2.8813462603161186,8.884931593744845,0.0,5.375172460695949,0.04046801967912028,,,27,6
ihdp_disconnected_sweep,IPWTransport,1,1466947376,FEASIBLE,0.12333989143371582,25,0,6,1.2118032355340957,5.203510350446037,0.6281706180371618,0.6281706180371618,0.7684615384615385,0.5799999999999998,0.8849839397995344,0.9795381044409374,0.9602620104071319,5.15168020887769,5.417083838565384,0.7980356943425538,0.3362569933385604,2.825622987161813,0.5799112632804865,1.0408032625267338,1.819633794627836,8.884931593744845,0.0,5.393008629049047,0.022631851326022634,,,27,6
ihdp_disconnected_sweep,EntropyBalancing,1,1466947376,FEASIBLE,0.4196619987487793,25,0,6,1.5977859920706945,5.2700511139510615,0.6947113815421861,0.6947113815421861,0.6007692307692307,0.41999999999999993,0.8849839397995344,0.9415589894483697,0.9402925522688274,5.15168020887769,5.207050100116101,0.6193529324729352,0.2293846012484265,3.3664711590763847,0.4050101067259547,1.3456298185692337,2.5458632305657414,8.884931593744845,0.0,5.35100188135919,0.0646385990158791,,,27,6
ihdp_disconnected_sweep,OutcomeModelTransport,1,1466947376,FEASIBLE,0.014178991317749023,25,0,6,1.5121680152689505,5.757943857533746,1.182604125124871,1.182604125124871,0.8007692307692308,0.6199999999999999,0.989525897122019,0.9596626365712846,0.9602620104071319,5.760241232773305,5.307167669615457,0.8380721557987127,0.37538402134089444,2.413899612512756,0.6875550437146842,1.2182543600681268,2.6871850966465436,8.884931593744845,0.0,5.3710253952590605,0.04461508511600876,,,27,6
ihdp_disconnected_sweep,AnchorPlugin,1,1466947376,FEASIBLE,2.004608392715454,25,0,6,0.673795093056237,5.049684095454062,0.47434436304518623,0.47434436304518623,0.6207692307692307,0.4599999999999999,0.9137912011378596,0.9360948171903434,0.8954446870218931,5.319373419380735,5.176831899215192,0.6249718900055048,0.8353029836397495,0.3573235410379091,0.4459192854147864,0.5021097324767706,0.9284101074017741,8.884931593744845,0.0,5.344958241179008,0.07068223919606087,,,27,6
ihdp_disconnected_sweep,Glmtrans_OptionB,1,1466947376,FEASIBLE,8.502430438995361,25,0,6,1.2851762383084147,5.630723749362372,1.0553840169534965,1.0553840169534965,0.8284615384615385,0.6533333333333332,0.9334479929152589,0.9999436874710186,0.9854035374139902,5.433799795516551,5.529931673220929,0.8516715604763883,0.45055177011185366,2.038407180122804,0.7021549058643191,1.0553840169534972,1.9278753749018147,8.884931593744845,0.0,5.415578195980155,6.228439491451354e-05,,,27,6
ihdp_disconnected_sweep,ProxyOnly,4,1973894659,FEASIBLE,3.875051259994507,25,0,6,7.307946232249087,-6.740945757054696,6.4264143279269,-6.4264143279269,0.944209381165294,0.8361250776133139,0.9577177214333941,0.9553891495963307,0.9351551730684702,11.9877195750597,10.609962020897338,0.958323359790729,0.8214658578967162,5.222925360226371,0.9160853294786316,6.4264143279269,10.2013346378988,27.997689366047474,1.0535288982116064,27.36157718285394,0.0990841122076489,,,10,6
ihdp_disconnected_sweep,IPWTransport,4,1973894659,FEASIBLE,0.14943623542785645,25,0,6,5.590014459362652,3.163537325555493,3.4780687546832887,3.4780687546832887,0.8510966386053912,0.6956560645742771,1.0,0.8521536213906666,0.8574557835327975,12.516965392598099,9.463491984125238,0.8942194620438692,1.2033487135769678,-4.121370000187718,0.8222989209759078,3.6343049216560157,6.997009976489705,28.715332720894004,0.3358855433650767,27.13228317549952,0.32837811956206764,,,10,6
ihdp_disconnected_sweep,EntropyBalancing,4,1973894659,FEASIBLE,0.2824225425720215,25,0,6,5.814453253822743,3.598422033351918,3.912953462479714,3.912953462479714,0.8430166072262261,0.6822780633324641,1.0,0.8521536213906666,0.8574557835327975,12.516965392598099,9.463491984125238,0.888664017059054,1.14009199902349,-4.417063598462155,0.8180457661522353,3.912953462479714,6.806436936861731,28.715332720894004,0.3358855433650767,27.13228317549952,0.32837811956206764,,,10,6
ihdp_disconnected_sweep,OutcomeModelTransport,4,1973894659,FEASIBLE,0.038350582122802734,25,0,6,5.566378938458685,2.8580560236139636,3.1725874527417597,3.1725874527417597,0.8761062595409023,0.7291010676788098,1.0,0.8521536213906666,0.9586996690847922,12.516965392598099,9.463491984125238,0.9138191232701923,1.3921081669093542,-4.29325456108527,0.8474798752897578,3.324702220504179,8.186498986119583,28.714306172116366,0.33691209214271467,27.13228317549952,0.32837811956206764,,,10,6
