benchmark_id,scenario_id,rep,method,feasibility,seed,m0,m1,n_proxy_total,C_sources,nontransfer_scale,overlap_lambda,intercept_drift_scale,pehe,ate_hat,ate_abs_err,ate_bias,tau_corr,tau_kendall,qini_auc,topk_10_ratio,topk_20_ratio,topk_30_ratio,topk_10_captured,topk_20_captured,calib_slope,calib_intercept,calib_r2,tau_ece,tau_mce,policy_value,policy_regret,policy_value_top20,policy_regret_top20,stage2_lambda,stage2_n_selected,stepb_M_fro_norm,stepb_M_effective_rank,runtime_sec
gold_fair_sweep,ce4daf7737a1,1,EntropyBalancing,FeasibleRestricted,1708536315,500,0,20000,10,0.1,,,2.20387327777391,1.5347135864545611,0.3334519630827004,0.3334519630827004,0.8457749457749458,0.6574734734734735,0.8575915093815346,0.8775724985587596,0.8707827444303073,0.8852658921477873,7.7648930327176195,6.258926977899723,0.9859637398868678,-0.31191032398406654,0.7355748059102089,0.3334519630827011,0.59751428124869,0.8016167862904024,0.2183271666831521,-0.07764541562047739,0.18575502835082652,,,,,2.5249338150024414
gold_fair_sweep,ce4daf7737a1,1,OutcomeModelTransport,FeasibleRestricted,1708536315,500,0,20000,10,0.1,,,2.1902436380032078,1.550724110293346,0.3494624869214853,0.3494624869214853,0.8478268878268879,0.6601121121121121,0.8595645976170608,0.8770228672011344,0.8754287189768524,0.8837173892840372,7.760029812064744,6.292320858995782,0.9997824374799567,-0.34912510747615744,0.7393740888209209,0.34946248692148546,0.5911747393872129,0.7936763840524257,0.22626756892112887,-0.07096663940126546,0.1790762521316146,,,,,0.14368796348571777
gold_fair_sweep,ce4daf7737a1,1,DRLearner_PooledWithSite,infeasible_no_target_treated,1708536315,500,0,20000,10,0.1,0.25,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
gold_fair_sweep,ce4daf7737a1,1,DRLearner_PooledNoSite,infeasible_no_target_treated,1708536315,500,0,20000,10,0.1,0.25,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
gold_fair_sweep,ce4daf7737a1,0,TargetOnlyDR,infeasible_no_target_treated,819564364,500,0,20000,10,0.1,0.25,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
gold_fair_sweep,ce4daf7737a1,0,ProxyOnly,FeasibleRestricted,819564364,500,0,20000,10,0.1,,,4.217055728433222,-0.6187766662501554,1.3891879541269203,-1.3891879541269203,0.4642831042831043,0.3226026026026026,0.48656433953250044,0.5943954081130021,0.5780635220167697,0.5729668508654849,5.282980988165483,4.1578357585549615,1.2203832107693682,1.5255559425842957,0.2340194811725933,1.3891879541269205,2.8229006401433954,1.4286369477297358,1.0663823670496335,1.1300696941818407,0.6069722475747295,0.0,0.0,,,5.158937215805054
gold_fair_sweep,ce4daf7737a1,0,AnchorOnly,infeasible_no_target_treated,819564364,500,0,20000,10,0.1,0.25,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
gold_fair_sweep,ce4daf7737a1,0,AnchorPlugin,FeasibleRestricted,819564364,500,0,20000,10,0.1,,,3.564425104723835,0.060798031523830454,0.7096132563529346,-0.7096132563529346,0.6156899076899077,0.43912712712712715,0.6337331293432196,0.6952431071341861,0.7090294426932788,0.6776607478390976,6.179314421023805,5.099833942839396,0.9358015090130455,0.713516398231742,0.4065141755648928,0.728600353678427,1.441930502929103,1.8188353425250379,0.6761839722543315,1.3184693310387277,0.41857261071784246,0.0042476987351421375,30.0,,,5.100856304168701
gold_fair_sweep,ce4daf7737a1,0,ProposedA,infeasible_no_target_treated,819564364,500,0,20000,10,0.1,0.25,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
gold_fair_sweep,ce4daf7737a1,0,ProposedA_Together,infeasible_no_target_treated,819564364,500,0,20000,10,0.1,0.25,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
gold_fair_sweep,ce4daf7737a1,0,ProposedA_JointProxy,infeasible_no_target_treated,819564364,500,0,20000,10,0.1,0.25,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
gold_fair_sweep,ce4daf7737a1,0,ProposedA_FullyJoint,infeasible_no_target_treated,819564364,500,0,20000,10,0.1,0.25,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
gold_fair_sweep,ce4daf7737a1,0,ProposedA_Direct,infeasible_no_target_treated,819564364,500,0,20000,10,0.1,0.25,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
gold_fair_sweep,ce4daf7737a1,0,ProposedA_Together_Direct,infeasible_no_target_treated,819564364,500,0,20000,10,0.1,0.25,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
gold_fair_sweep,ce4daf7737a1,0,ProposedA_FullyDirect,infeasible_no_target_treated,819564364,500,0,20000,10,0.1,0.25,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
gold_fair_sweep,ce4daf7737a1,0,ProposedA_NoCrossfit,infeasible_no_target_treated,819564364,500,0,20000,10,0.1,0.25,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
gold_fair_sweep,ce4daf7737a1,0,ProposedA_Direct_NoCrossfit,infeasible_no_target_treated,819564364,500,0,20000,10,0.1,0.25,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
gold_fair_sweep,ce4daf7737a1,0,ProposedA_Together_NoCrossfit,infeasible_no_target_treated,819564364,500,0,20000,10,0.1,0.25,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
gold_fair_sweep,ce4daf7737a1,0,ProposedA_Together_Direct_NoCrossfit,infeasible_no_target_treated,819564364,500,0,20000,10,0.1,0.25,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
gold_fair_sweep,ce4daf7737a1,0,ProposedB_LinearStepB,infeasible_no_target_treated,819564364,500,0,20000,10,0.1,0.25,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
gold_fair_sweep,ce4daf7737a1,0,ProposedB_SourceDR,FeasibleRestricted,819564364,500,0,20000,10,0.1,,,4.4879212268983055,0.06739817463005553,0.7030131132467096,-0.7030131132467096,0.23374816174816176,0.1589029029029029,0.24986454394339097,0.30205262834910984,0.37720628375454895,0.3368802849698325,2.6846410170961343,2.7131305041953415,0.6286775704393522,0.728039567198295,0.06339174996673058,0.9887700038144381,2.0291199751828657,1.063149798766028,1.4318695160133412,0.8411286433099167,0.8959132984466535,0.004427870509385892,30.0,11.014538409207264,10.0,28.01822566986084
gold_fair_sweep,ce4daf7737a1,0,IPWTransport,FeasibleRestricted,819564364,500,0,20000,10,0.1,,,4.01103339915193,0.6647596486519902,0.10565163922477483,-0.10565163922477483,0.5167517047517047,0.3599039039039039,0.5314600115683649,0.6296673175349451,0.6423854458033574,0.6212340106278558,5.596477398718161,4.620483866579261,0.6674836737779367,0.32669507541520487,0.28660797221079937,1.054774704042529,2.56535062756759,1.60234812577911,0.8926711890002594,1.2225993157867006,0.5144426259698696,,,,,1.103940725326538
gold_fair_sweep,ce4daf7737a1,0,EntropyBalancing,FeasibleRestricted,819564364,500,0,20000,10,0.1,,,4.038019244451797,0.6866562364627243,0.08375505141404072,-0.08375505141404072,0.5107157707157708,0.3552072072072072,0.5252833542195283,0.6282761758405243,0.6379776830515858,0.6162114909359978,5.584112943974472,4.588780164673623,0.6580762330687818,0.3185391383721887,0.28036933529399366,1.0759745758862072,2.4753224817878823,1.608509595008064,0.8865097197713054,1.216258575405573,0.5207833663509971,,,,,2.3010196685791016
gold_fair_sweep,ce4daf7737a1,0,OutcomeModelTransport,FeasibleRestricted,819564364,500,0,20000,10,0.1,,,3.978075739309961,0.8181097310690989,0.04769844319233385,0.04769844319233385,0.5242328482328482,0.3663823823823824,0.5391635767446884,0.6429959582181304,0.6439643382486432,0.6286124656758073,5.714942236040676,4.631840361528152,0.6763103779211975,0.21711518647641406,0.2956111075811301,1.0822477292259016,2.37876450297312,1.6134224212741661,0.8815968935052032,1.2248706147764787,0.5121713269800914,,,,,0.04266667366027832
