benchmark_id,method,m0,m1,n_sites,pehe_mean,pehe_sd,ate_hat_mean,ate_hat_sd,ate_abs_err_mean,ate_abs_err_sd,ate_bias_mean,ate_bias_sd,tau_corr_mean,tau_corr_sd,tau_kendall_mean,tau_kendall_sd,topk_10_ratio_mean,topk_10_ratio_sd,topk_20_ratio_mean,topk_20_ratio_sd,topk_30_ratio_mean,topk_30_ratio_sd,topk_10_captured_mean,topk_10_captured_sd,topk_20_captured_mean,topk_20_captured_sd,qini_auc_mean,qini_auc_sd,calib_slope_mean,calib_slope_sd,calib_intercept_mean,calib_intercept_sd,calib_r2_mean,calib_r2_sd,tau_ece_mean,tau_ece_sd,tau_mce_mean,tau_mce_sd,policy_value_mean,policy_value_sd,policy_regret_mean,policy_regret_sd,policy_value_top20_mean,policy_value_top20_sd,policy_regret_top20_mean,policy_regret_top20_sd,mu0_rmse_mean,mu0_rmse_sd,mu1_rmse_mean,mu1_rmse_sd,n_reps
ihdp_connected_sweep,AnchorOnly,25,25,6,3.1186058986822744,4.31790522877368,3.14346559954262,3.5030570800874052,0.5412968452725085,0.7399352763180137,0.040479221119206044,0.9191377038337328,0.6482258689789566,0.2358399394611722,0.5016982813874564,0.19897631330448598,0.9008886449425835,0.06949531945904004,0.8971145088414496,0.05416734544470445,0.9107651380079094,0.04300950993440399,8.880815892832327,8.603754828199314,8.180255223423028,7.6085917557277405,0.7012033535162151,0.23271670000715927,0.6894133806790852,0.3426678513642705,1.2085827445856605,1.5597624310456182,0.5482338190143257,0.27966985201331124,1.392927754806236,1.5933876302952548,3.9419774074310685,5.697797764696179,17.975389920679024,18.861752045336726,0.1779772259735765,0.35536361552647355,14.857934800083514,18.236546683453785,0.18552069213786176,0.19058817558794705,,,,,50
ihdp_connected_sweep,AnchorOnly,25,50,6,3.8782717783606437,4.871110232616039,2.815967957376417,3.405388760450749,0.5858120002494622,0.7255911363034887,-0.23863712707914686,0.9047385846121243,0.7203810003281249,0.20498959697747596,0.5606453873436873,0.18204467910875924,0.8826221319512431,0.07279769128158574,0.9013083152951263,0.04528022778639867,0.9158340432413532,0.03800427950212394,10.400984888281885,10.131303105959544,9.666787891910086,9.196397084370199,0.7605238726136784,0.19342018308953765,0.7981619589222981,0.33558469850994777,0.9794977859809599,1.8034608716324132,0.6009858456834606,0.24468086814980694,1.4853591538495206,1.5935301858636,4.044584978929824,5.506537409206667,21.74958171039526,21.268945147695717,0.2688325845394918,0.39235101079257534,18.72359080063522,20.2747233753169,0.19442762344137787,0.16878412021696174,,,,,50
ihdp_connected_sweep,AnchorOnly,25,100,6,2.3658350199388694,2.5720219295487046,3.620415030937595,1.1782072077187065,0.45789695922066637,0.4764526823026451,-0.14619884462173396,0.6474144324508321,0.6686013091588303,0.22246275674833882,0.50828946284505,0.18545020088374845,0.8891079495722487,0.06309054117085118,0.9034318531068035,0.055132747017225876,0.9181745059047038,0.046573858908214104,7.58203413826578,5.864280914292718,7.148287574038209,5.218670271814434,0.692687744863447,0.22314851419450782,0.6894691309604901,0.30749066997940655,1.342046858889872,1.3859756262261949,0.5080338155696961,0.26250169436111687,1.0121161844495261,1.0351374837056175,2.744668840999668,3.8273034071606578,14.440246696414446,11.906117376427744,0.19298106287477887,0.4128927453534057,11.548343683706857,11.538481385313698,0.13478791311103513,0.07644443742608416,,,,,50
ihdp_connected_sweep,AnchorOnly,50,25,6,2.8537736524482096,4.294069250938301,2.905315889635199,3.939346106502152,0.2786607332248912,0.40110010122414136,0.09042403851791338,0.48142959185724954,0.6995106086062832,0.21903290442216583,0.5452875087086205,0.19553261307054023,0.893907040476565,0.06301066496918233,0.9186400949480407,0.047805359811899574,0.9270140852698581,0.03578416190149645,9.200343752017826,9.352235439299635,8.637502912785092,8.470593231694153,0.7515663675159628,0.1993646402508664,0.6999002119308603,0.30666854694429074,1.1948713141525695,1.411903081459341,0.616818467418046,0.2643893134028061,1.0619150695830706,1.17487921958246,2.904788713580887,3.680377375002611,18.474657210717066,19.86775856590711,0.19586307573065598,0.48194455090171706,15.44832278923694,19.39081170016862,0.14717974509674897,0.18029477817544928,,,,,50
ihdp_connected_sweep,AnchorOnly,50,50,6,2.957973519358359,4.200046396634362,3.371068216037146,2.527211193984456,0.25060389943171335,0.3321732792662978,-0.05758602354386202,0.41356892426103536,0.7037447041745688,0.22081351524741302,0.5472342666022163,0.20182737235611117,0.9229389502956328,0.03548775746358464,0.9292652665231043,0.032752660014960785,0.9370227747653042,0.029683107245751367,10.042672458313545,10.21945155214988,9.348764599393196,9.150130444791403,0.7446667976956037,0.19016889772721818,0.7085563144303699,0.3255019423519628,1.3220091520453123,1.3352375291736662,0.5669612945867601,0.27566915146857396,1.0832744573045665,1.3502897392333137,2.9943405384883532,4.245460103558246,19.07587694490746,20.934519031805937,0.14219031676928873,0.24773514243296782,15.831792348955064,20.252048042690124,0.13241068835875794,0.13558200077478175,,,,,50
ihdp_connected_sweep,AnchorOnly,50,100,6,3.543611689248303,4.775306426168532,3.8257760511663252,3.131184898127844,0.35008615979972774,0.5067111163299449,-0.05454504843708911,0.6154525374017837,0.7436737719024,0.22883801197337503,0.5891672324591154,0.20553984033205985,0.9201385291395043,0.04677552587534321,0.9281496703636074,0.03204573500735325,0.9362013879811961,0.030230642020891405,12.273259626289557,12.475726810480063,11.272816338706994,11.035102179749877,0.7769038235079361,0.21032240041754185,0.7985946206651487,0.32792796973511196,0.7824987678328407,1.8828763943324283,0.6404178218763359,0.26353056426452404,1.2025513615906962,1.4528926847515384,3.427947600313495,5.053528248726539,22.391718047395038,21.66024019728921,0.19326616197240476,0.3036201183383185,18.774965244431527,20.247870442842213,0.15673814759252497,0.15477995195742958,,,,,50
ihdp_connected_sweep,AnchorOnly,100,25,6,2.6373664185043246,3.8459934310562174,3.495141509459869,3.1897411490438796,0.22163882370868934,0.289025618065038,0.07634523772104262,0.3573717332223344,0.7761802523728923,0.1852591346977354,0.6134076670489899,0.1695108517078759,0.9287362163201334,0.035553689731938586,0.9330220745340492,0.031446902302335614,0.944923152603748,0.02857674125241283,10.086217872033593,10.348181256532902,9.316869268913852,9.038348771561227,0.8168885073480862,0.15650467041324684,0.7864350368129384,0.29357785014675963,0.8218782761513546,1.3902953912551193,0.6891566412004936,0.2232417917505105,1.0556517201029632,1.5593609598738356,2.652450576150395,4.106424063225571,19.734933779744416,21.66488252819399,0.12187197988341399,0.23631489290342944,16.4109138857742,20.74972064629856,0.14600558917844814,0.18664736760995349,,,,,50
ihdp_connected_sweep,AnchorOnly,100,50,6,2.8922466525263375,4.5068280412091655,2.6184436752067883,2.8674964952734996,0.21946656129764783,0.24271959465878243,-0.013631868529169288,0.32843831043615784,0.784135637586722,0.1903288118230083,0.6246168419837439,0.18148702270918826,0.9212093863342358,0.04423343383666828,0.9366307678118478,0.030332035132485013,0.9469408401110689,0.025333736305008663,9.94517442534988,9.415595136071481,9.243865899412976,8.43104543532067,0.8168163508355762,0.1719029205941179,0.8105500932901891,0.3129318500845738,0.8996111453332434,1.1455149355291994,0.6879836770883783,0.24835074823227343,0.9539772719849428,1.4403799111768216,2.699568491560977,4.348225169790168,20.083730612581448,21.13304729641081,0.14293545909198307,0.2886265495110304,17.17618886214504,20.636294963979132,0.13144444223900445,0.17717914077512875,,,,,50
ihdp_connected_sweep,AnchorOnly,100,100,6,2.773014701343011,3.9286939312512223,3.2631826482003317,2.6608924044885174,0.23792136989497895,0.35647629543590437,-0.055339749349929745,0.4262771119130859,0.7857474008035662,0.15335073019616022,0.6185637956049626,0.15353880531498695,0.9177056190531857,0.0336571630853665,0.931435583101612,0.02537702226457318,0.9412891632160671,0.020595283953749384,10.25309610253345,9.540040787573409,9.528833320192241,8.619860894598071,0.8200916735723489,0.13763227607309084,0.8302585990080008,0.27339802773227506,0.7553610131801471,1.1950874874921398,0.6913714546068246,0.20977383031996868,0.9387807269303502,1.4098566076265489,2.2706193444952207,3.1640226881175044,20.187796059866013,20.57131896912027,0.15459620813057973,0.3184442683554625,16.942718475576992,19.704792515410897,0.14346808624283644,0.18261438601823157,,,,,50
ihdp_connected_sweep,AnchorPlugin,25,25,6,2.89038836504686,5.227305428590269,2.9902154224051025,3.805162534502846,0.49739470592057505,0.7839140612930479,-0.11277095601831096,0.9241184631961604,0.8364365945356589,0.12372911917650045,0.6811472671732282,0.13090695000272756,0.9550742336928447,0.035105609735591944,0.9576229985130686,0.024633080888319555,0.9591954890788528,0.02865607235046012,9.345963918568899,8.835202284198939,8.636067581193537,7.602425419575504,0.8756426406500782,0.09780777190209443,0.8829510645193372,0.28180946510349913,0.7888313001723986,1.59008347037783,0.7482877125826812,0.16167376617048887,1.136613276376598,1.695712821088026,2.894401897233124,4.874742363430221,17.998201465829176,18.83599913126883,0.1551656808234234,0.38490628163095897,14.949097271637617,18.261621761029406,0.09435822058376057,0.14333312101556725,,,,,50
