benchmark_id,scenario_id,method,feasibility,m0,m1,n_proxy_total,C_sources,nontransfer_scale,pehe_mean,pehe_sd,pehe_median,pehe_n,ate_hat_mean,ate_hat_sd,ate_hat_median,ate_hat_n,ate_abs_err_mean,ate_abs_err_sd,ate_abs_err_median,ate_abs_err_n,ate_bias_mean,ate_bias_sd,ate_bias_median,ate_bias_n,tau_corr_mean,tau_corr_sd,tau_corr_median,tau_corr_n,tau_kendall_mean,tau_kendall_sd,tau_kendall_median,tau_kendall_n,qini_auc_mean,qini_auc_sd,qini_auc_median,qini_auc_n,topk_10_ratio_mean,topk_10_ratio_sd,topk_10_ratio_median,topk_10_ratio_n,topk_20_ratio_mean,topk_20_ratio_sd,topk_20_ratio_median,topk_20_ratio_n,topk_30_ratio_mean,topk_30_ratio_sd,topk_30_ratio_median,topk_30_ratio_n,topk_10_captured_mean,topk_10_captured_sd,topk_10_captured_median,topk_10_captured_n,topk_20_captured_mean,topk_20_captured_sd,topk_20_captured_median,topk_20_captured_n,calib_slope_mean,calib_slope_sd,calib_slope_median,calib_slope_n,calib_intercept_mean,calib_intercept_sd,calib_intercept_median,calib_intercept_n,calib_r2_mean,calib_r2_sd,calib_r2_median,calib_r2_n,tau_ece_mean,tau_ece_sd,tau_ece_median,tau_ece_n,tau_mce_mean,tau_mce_sd,tau_mce_median,tau_mce_n,policy_value_mean,policy_value_sd,policy_value_median,policy_value_n,policy_regret_mean,policy_regret_sd,policy_regret_median,policy_regret_n,policy_value_top20_mean,policy_value_top20_sd,policy_value_top20_median,policy_value_top20_n,policy_regret_top20_mean,policy_regret_top20_sd,policy_regret_top20_median,policy_regret_top20_n,stage2_lambda_mean,stage2_lambda_sd,stage2_lambda_median,stage2_lambda_n,stage2_n_selected_mean,stage2_n_selected_sd,stage2_n_selected_median,stage2_n_selected_n,stepb_M_fro_norm_mean,stepb_M_fro_norm_sd,stepb_M_fro_norm_median,stepb_M_fro_norm_n,stepb_M_effective_rank_mean,stepb_M_effective_rank_sd,stepb_M_effective_rank_median,stepb_M_effective_rank_n,runtime_sec_mean,runtime_sec_sd,runtime_sec_median,runtime_sec_n,pehe_delta_vs_ProxyOnly,pehe_p_value,pehe_q_value,ate_hat_delta_vs_ProxyOnly,ate_hat_p_value,ate_hat_q_value,ate_abs_err_delta_vs_ProxyOnly,ate_abs_err_p_value,ate_abs_err_q_value,ate_bias_delta_vs_ProxyOnly,ate_bias_p_value,ate_bias_q_value,qini_auc_delta_vs_ProxyOnly,qini_auc_p_value,qini_auc_q_value,topk_10_captured_delta_vs_ProxyOnly,topk_10_captured_p_value,topk_10_captured_q_value,topk_20_captured_delta_vs_ProxyOnly,topk_20_captured_p_value,topk_20_captured_q_value,calib_slope_delta_vs_ProxyOnly,calib_slope_p_value,calib_slope_q_value,calib_intercept_delta_vs_ProxyOnly,calib_intercept_p_value,calib_intercept_q_value,calib_r2_delta_vs_ProxyOnly,calib_r2_p_value,calib_r2_q_value,tau_ece_delta_vs_ProxyOnly,tau_ece_p_value,tau_ece_q_value,tau_mce_delta_vs_ProxyOnly,tau_mce_p_value,tau_mce_q_value,policy_value_delta_vs_ProxyOnly,policy_value_p_value,policy_value_q_value,policy_regret_delta_vs_ProxyOnly,policy_regret_p_value,policy_regret_q_value,policy_value_top20_delta_vs_ProxyOnly,policy_value_top20_p_value,policy_value_top20_q_value,policy_regret_top20_delta_vs_ProxyOnly,policy_regret_top20_p_value,policy_regret_top20_q_value,stage2_lambda_delta_vs_ProxyOnly,stage2_lambda_p_value,stage2_lambda_q_value,stage2_n_selected_delta_vs_ProxyOnly,stage2_n_selected_p_value,stage2_n_selected_q_value,runtime_sec_delta_vs_ProxyOnly,runtime_sec_p_value,runtime_sec_q_value
l1tcl_gold_dim_sweep,1a9d63883567,AnchorOnly,OracleTargetTreated,200,200,5000,10,,0.23260651747148114,0.03253294818781448,0.24637554686081645,5,-0.0889769400009685,0.046293589994834565,-0.08838802997781127,5,0.0407790587602817,0.025848874204681037,0.02756617881873414,5,-0.02197694000096852,0.046293589994834565,-0.021388029977811293,5,,,,0,,,,0,0.0,0.0,0.0,5,,,,0,,,,0,,,,0,-0.06699999999999999,0.0,-0.06699999999999999,5,-0.06699999999999999,0.0,-0.06699999999999999,5,-2.0470214215863e-17,2.5627415690693908e-17,-2.6978917671044902e-17,5,-0.06700000000000023,1.6996749443881478e-17,-0.06700000000000023,5,1.0,0.0,1.0,5,0.18301142357175396,0.0252046476513448,0.1971494692899518,5,0.4435723191115703,0.07214967179965323,0.4559095993099587,5,-0.2133788744019986,0.833614722181919,-0.3136981181216519,5,0.023088199999999986,0.004919962875876167,0.0217750000000001,5,-0.20369067440199867,0.8302808995095643,-0.29855611812165195,5,5.828670879282072e-17,9.432813123914324e-17,1.3877787807814457e-17,5,0.008286093844410623,0.004469189136352805,0.006163986774018514,5,29.4,9.989994994993742,34.0,5,,,,0,,,,0,28.056642961502074,3.278553875876778,26.11033272743225,5,-0.7853145410517074,0.00911769740037372,0.911769740037372,-0.22886006940853632,0.6544512409010539,1.0,-0.8744879909082899,0.010327380178372642,1.0,-0.22886006940853632,0.6544512409010539,1.0,0.0,,,0.0,,,0.0,,,-1.8900697615097635e-17,0.22535680182116022,1.0,1.1102230246251566e-17,0.17780780835622126,1.0,0.0,,,-0.7587492308202258,0.012196619273976937,1.0,-1.1633840334287193,0.003483453353425471,0.3999517234821032,0.019376400000000002,0.2098321696566559,1.0,-0.019376400000000002,0.2098321696566559,1.0,-4.4408920985006264e-17,0.373900966300059,1.0,4.4408920985006264e-17,0.373900966300059,1.0,0.008286093844410623,0.014309212645840572,0.4663758107961627,29.4,0.0027606792843467855,0.08834173709909714,16.690206050872803,0.0005207036085409874,0.03488714177224616
l1tcl_gold_dim_sweep,1a9d63883567,AnchorPlugin,FeasibleRestricted,200,200,5000,10,,0.9473028286789245,0.1977989239514065,0.9342236323965679,5,0.029929961813891938,0.615016449027746,0.30034451084421165,5,0.487420509707425,0.30498534856931053,0.48644453290667533,5,0.09692996181389188,0.615016449027746,0.3673445108442116,5,,,,0,,,,0,0.0,0.0,0.0,5,,,,0,,,,0,,,,0,-0.06699999999999999,0.0,-0.06699999999999999,5,-0.06699999999999999,0.0,-0.06699999999999999,5,-5.657275158532453e-18,9.26388276730253e-18,-4.29919230744688e-18,5,-0.06700000000000024,1.6996749443881478e-17,-0.06700000000000024,5,1.0,0.0,1.0,5,0.7666981193507982,0.17194653746117378,0.7489741276744087,5,1.849099813600984,0.3562818053670112,1.8160357589579383,5,-0.22614907440199866,0.847637292351414,-0.33292711812165193,5,0.03585840000000003,0.018258846097166177,0.04750299999999985,5,-0.20369067440199862,0.8302808995095645,-0.2985561181216519,5,4.163336342344337e-18,9.309503074677274e-18,0.0,5,0.018163046720575525,0.008991243715950862,0.014601778879464993,5,77.6,9.126883367283709,82.0,5,,,,0,,,,0,12.035733795166015,1.2988419615999651,11.775512933731079,5,-0.07061822984426394,0.6849738640882832,1.0,-0.1099531675936759,0.6515524136648538,1.0,-0.42784653996114674,0.009088125712242563,1.0,-0.1099531675936759,0.6515524136648538,1.0,0.0,,,0.0,,,0.0,,,-4.087758557767084e-18,0.31962085604296653,1.0,2.7755575615628915e-18,0.7780495489000209,1.0,0.0,,,-0.17506253504118155,0.3417798107818833,1.0,0.2421434610606942,0.3008746606879349,1.0,0.006606199999999951,0.42295284392639604,1.0,-0.006606199999999951,0.42295284392639604,1.0,9.714451465470119e-18,0.4468358966258564,1.0,-9.714451465470119e-18,0.4468358966258564,1.0,0.018163046720575525,0.010682438671339101,0.427297546853564,77.6,4.509063043497197e-05,0.0020290783695737385,0.6692968845367432,0.5516278003509634,1.0
l1tcl_gold_dim_sweep,1a9d63883567,DRLearner_PooledNoSite,OracleTargetTreated,200,200,5000,10,,0.13711053195959005,0.015237505760513357,0.14609847554830535,5,-0.07342720597345899,0.016952025607485825,-0.07894177603094042,5,0.015209076146647432,0.0070613310668236765,0.014337829403090148,5,-0.006427205973459015,0.016952025607485825,-0.011941776030940446,5,,,,0,,,,0,0.0,0.0,0.0,5,,,,0,,,,0,,,,0,-0.06699999999999999,0.0,-0.06699999999999999,5,-0.06699999999999999,0.0,-0.06699999999999999,5,-2.369541219051542e-17,3.2520039051653836e-17,-2.96440406634342e-17,5,-0.06700000000000023,1.3877787807814457e-17,-0.06700000000000023,5,1.0,0.0,1.0,5,0.10941965780538312,0.011981238465028075,0.1174218886980193,5,0.25314232696687833,0.024438697728628368,0.26095072644101797,5,-0.20997527440199862,0.833669338901099,-0.30833811812165185,5,0.01968459999999998,0.004191759034104808,0.02050200000000002,5,-0.20369067440199862,0.8302808995095643,-0.2985561181216519,5,4.5102810375396984e-17,9.892487821532884e-17,0.0,5,,,,0,,,,0,,,,0,,,,0,0.542493486404419,0.16933885585915862,0.5370461940765381,5,-0.8808105265635984,0.006734967318735918,0.8003931606453756,-0.21331033538102684,0.6810169302660707,1.0,-0.9000579735219242,0.01045363212779209,1.0,-0.21331033538102684,0.6810169302660707,1.0,0.0,,,0.0,,,0.0,,,-2.212589558975005e-17,0.17050350276144907,1.0,1.1102230246251566e-17,0.33750185654036463,1.0,0.0,,,-0.8323409965865967,0.009677753497045881,1.0,-1.3538140255734112,0.002127265536978386,0.29356264410301725,0.022780000000000005,0.15343216988199268,1.0,-0.022780000000000005,0.15343216988199268,1.0,-3.122502256758253e-17,0.5570352848691513,1.0,3.122502256758253e-17,0.5570352848691513,1.0,,,,,,,-10.823943424224854,0.00020791323948399478,0.01829636507459154
l1tcl_gold_dim_sweep,1a9d63883567,DRLearner_PooledWithSite,OracleTargetTreated,200,200,5000,10,,0.13697192381810408,0.014714779772901485,0.14492518673335536,5,-0.07327885358803109,0.017104110950527343,-0.08022245443160896,5,0.015284283831077262,0.00705825396941064,0.014510897554312632,5,-0.0062788535880311126,0.017104110950527343,-0.01322245443160898,5,,,,0,,,,0,0.0,0.0,0.0,5,,,,0,,,,0,,,,0,-0.06699999999999999,0.0,-0.06699999999999999,5,-0.06699999999999999,0.0,-0.06699999999999999,5,-2.5235205033887713e-17,3.259943652834062e-17,-3.1080383274705144e-17,5,-0.06700000000000025,1.2018516789897274e-17,-0.06700000000000027,5,1.0,0.0,1.0,5,0.10931667043427742,0.011412264867411186,0.11688337650335617,5,0.25281805547522873,0.024990920289170243,0.25791294021391403,5,-0.21008247440199862,0.8334973494210826,-0.3082041181216519,5,0.019791799999999977,0.004152811120193206,0.01989900000000011,5,-0.20369067440199867,0.8302808995095643,-0.2985561181216519,5,6.83481049534862e-17,9.79128089235269e-17,8.673617379884035e-18,5,,,,0,,,,0,,,,0,,,,0,1.1175619602203368,0.4520704903840767,1.2158195972442627,5,-0.8809491347050843,0.006725992946599795,0.8003931606453756,-0.21316198299559894,0.6814197493062142,1.0,-0.8999827658374944,0.010406683405525785,1.0,-0.2131619829955989,0.6814197493062142,1.0,0.0,,,0.0,,,0.0,,,-2.3665688433122344e-17,0.14851987817822207,1.0,-1.9428902930940238e-17,0.004635839417904412,0.8020002192974632,0.0,,,-0.8324439839577022,0.009667003936843499,1.0,-1.354138297065061,0.0021100785906323248,0.29330092409789316,0.022672800000000014,0.15724983525282726,1.0,-0.022672800000000014,0.15724983525282726,1.0,-5.447031714567174e-17,0.3367970000323981,1.0,5.447031714567174e-17,0.3367970000323981,1.0,,,,,,,-10.248874950408936,0.0004640201626925058,0.03294543155116791
l1tcl_gold_dim_sweep,1a9d63883567,EntropyBalancing,FeasibleRestricted,200,200,5000,10,,1.0186559142757,0.13159521821228837,1.0744165480726386,5,-0.1734433478906131,0.4876397084492727,-0.3582956175332225,5,0.42619340804716765,0.15781062009769764,0.3927567404616161,5,-0.10644334789061312,0.4876397084492726,-0.29129561753322253,5,,,,0,,,,0,0.0,0.0,0.0,5,,,,0,,,,0,,,,0,-0.06699999999999999,0.0,-0.06699999999999999,5,-0.06699999999999999,0.0,-0.06699999999999999,5,4.8965753323198795e-18,9.479425153137382e-18,8.721161508478855e-18,5,-0.06700000000000024,1.5515838457795457e-17,-0.06700000000000023,5,1.0,0.0,1.0,5,0.8146129609322603,0.10750706179361753,0.8561769261521639,5,2.0335170604636317,0.242657831620135,2.1403723811382003,5,-0.2195830744019985,0.8244371715204275,-0.3338651181216519,5,0.029292399999999896,0.014118443745682491,0.02157399999999976,5,-0.20369067440199862,0.8302808995095645,-0.2985561181216519,5,2.4980018054066023e-17,4.8473028914566787e-17,0.0,5,,,,0,,,,0,,,,0,,,,0,2.417761754989624,0.2925802252766172,2.373701810836792,5,0.0007348557525113985,0.9971789214330933,1.0,-0.3133264772981809,0.6037295522895042,1.0,-0.48907364162140404,0.13371930285997155,1.0,-0.3133264772981809,0.6037295522895042,1.0,0.0,,,0.0,,,0.0,,,6.4660919330852464e-18,0.28581170665159017,1.0,5.551115123125783e-18,0.5870496397870563,1.0,0.0,,,-0.12714769345971944,0.5555621168978472,1.0,0.4265607079233417,0.17420615574601914,1.0,0.013172200000000089,0.451040330377883,1.0,-0.013172200000000089,0.451040330377883,1.0,-1.1102230246251566e-17,0.7040000000000001,1.0,1.1102230246251566e-17,0.7040000000000001,1.0,,,,,,,-8.948675155639648,0.0003878553447638822,0.029477006202055046
l1tcl_gold_dim_sweep,1a9d63883567,IPWTransport,FeasibleRestricted,200,200,5000,10,,0.16815605407058834,0.019475393829776946,0.15998994425178803,5,-0.031199909599006048,0.09275453308759828,0.019784613703744215,5,0.08448715277496185,0.035817073710352865,0.09360388232871843,5,0.03580009040099393,0.09275453308759828,0.08678461370374418,5,,,,0,,,,0,0.0,0.0,0.0,5,,,,0,,,,0,,,,0,-0.06699999999999999,0.0,-0.06699999999999999,5,-0.06699999999999999,0.0,-0.06699999999999999,5,-2.9464154069686393e-17,4.083889162148162e-17,-3.788165164262149e-17,5,-0.06700000000000023,2.6874220530932865e-17,-0.06700000000000021,5,1.0,0.0,1.0,5,0.1360598457069107,0.016320129399070182,0.12964594763100293,5,0.33348712326313784,0.04252738753341512,0.32125841588741977,5,-0.2191006744019986,0.8393734004019561,-0.32207311812165196,5,0.02880999999999994,0.016129336812156968,0.03691700000000009,5,-0.20369067440199862,0.8302808995095643,-0.2985561181216519,5,4.649058915617843e-17,9.824111376511635e-17,0.0,5,,,,0,,,,0,,,,0,,,,0,1.1207762241363526,0.39442162551668913,1.1404507160186768,5,-0.8497650044526001,0.007561466886241518,0.8457579554333727,-0.1710830390065739,0.7300565718762189,1.0,-0.8307798968936098,0.013843418103124946,1.0,-0.1710830390065739,0.7300565718762189,1.0,0.0,,,0.0,,,0.0,,,-2.7894637468921024e-17,0.18040748177085741,1.0,2.4980018054066023e-17,0.05333826104568904,1.0,0.0,,,-0.805700808685069,0.010729959813132997,1.0,-1.2734692292771517,0.002691660287435763,0.35527360428304655,0.013654600000000044,0.3524812894183153,1.0,-0.013654600000000048,0.35248128941831525,1.0,-3.2612801348363975e-17,0.538296840343082,1.0,3.2612801348363975e-17,0.538296840343082,1.0,,,,,,,-10.24566068649292,0.0001461619607860133,0.014323872157029302
l1tcl_gold_dim_sweep,1a9d63883567,OutcomeModelTransport,FeasibleRestricted,200,200,5000,10,,0.1715860803442822,0.02447196665183545,0.17774460939984918,5,-0.02161929285526897,0.09693933764777349,0.01768887727288041,5,0.09177294101344761,0.0379954606757395,0.08468887727288038,5,0.045380707144731004,0.09693933764777349,0.08468887727288038,5,,,,0,,,,0,0.0,0.0,0.0,5,,,,0,,,,0,,,,0,-0.06699999999999999,0.0,-0.06699999999999999,5,-0.06699999999999999,0.0,-0.06699999999999999,5,-2.5730037917900177e-17,4.5022130775508116e-17,-3.1276836396463665e-17,5,-0.06700000000000025,2.3013707539344673e-17,-0.06700000000000024,5,1.0,0.0,1.0,5,0.13940734555982823,0.021202244053383428,0.14321497229469662,5,0.340150214561725,0.04753080815014557,0.348145135116247,5,-0.22081587440199862,0.8377224479176397,-0.3215371181216519,5,0.030525199999999954,0.01727935065909589,0.03638100000000005,5,-0.20369067440199862,0.8302808995095643,-0.2985561181216519,5,4.649058915617843e-17,9.824111376511635e-17,0.0,5,,,,0,,,,0,,,,0,,,,0,0.2745645523071289,0.03225930027931822,0.2805023193359375,5,-0.8463349781789061,0.008486029776162968,0.8900338652925215,-0.16150242226283681,0.7474673879125335,1.0,-0.823494108655124,0.016348847749557187,1.0,-0.1615024222628368,0.7474673879125336,1.0,0.0,,,0.0,,,0.0,,,-2.4160521317134805e-17,0.2792098726495643,1.0,-2.7755575615628915e-18,0.7989658591927787,1.0,0.0,,,-0.8023533088321516,0.011880373583116485,1.0,-1.2668061379785647,0.003163472905162596,0.3902024935944288,0.011939400000000036,0.4527044765564785,1.0,-0.011939400000000036,0.4527044765564785,1.0,-3.2612801348363975e-17,0.538296840343082,1.0,3.2612801348363975e-17,0.538296840343082,1.0,,,,,,,-11.091872358322144,0.00014857053041545613,0.014323872157029302
l1tcl_gold_dim_sweep,1a9d63883567,ProposedA_FullyDirect,OracleTargetTreated,200,200,5000,10,,0.17334603098807566,0.024996673414272107,0.15883226889613283,5,-0.09002070411661015,0.031579870622272105,-0.10519644813533563,5,0.0325170387320973,0.018385646335366906,0.03819644813533565,5,-0.023020704116610165,0.031579870622272105,-0.03819644813533565,5,,,,0,,,,0,0.0,0.0,0.0,5,,,,0,,,,0,,,,0,-0.06699999999999999,0.0,-0.06699999999999999,5,-0.06699999999999999,0.0,-0.06699999999999999,5,-2.4149646439566536e-17,4.695146481537951e-17,-1.8550393732823707e-17,5,-0.06700000000000024,1.3877787807814457e-17,-0.06700000000000024,5,1.0,0.0,1.0,5,0.13438273827198657,0.016149566333021958,0.12368086438233834,5,0.33115442115001525,0.04826828930598156,0.31365465006126225,5,-0.20848787440199862,0.8327324789185654,-0.3107501181216519,5,0.018197199999999972,0.004890219800786058,0.01755400000000007,5,-0.20369067440199862,0.8302808995095643,-0.2985561181216519,5,4.5449755070592345e-17,9.874523885518736e-17,0.0,5,0.0,0.0,0.0,5,0.0,0.0,0.0,5,,,,0,,,,0,25.146201133728027,3.348778239788803,23.067557334899902,5,-0.8445750275351127,0.00770154263676722,0.8471696900443942,-0.22990383352417795,0.6558184956320829,1.0,-0.8827500109364743,0.011332909804499147,1.0,-0.22990383352417795,0.6558184956320829,1.0,0.0,,,0.0,,,0.0,,,-2.2580129838801164e-17,0.31274580001689023,1.0,8.326672684688674e-18,0.42631720794036876,1.0,0.0,,,-0.8073779161199932,0.010615705478790602,1.0,-1.2758019313902744,0.00263296734634137,0.35018465706340224,0.024267400000000015,0.13592656336657935,1.0,-0.024267400000000015,0.13592656336657935,1.0,-3.157196726277789e-17,0.5523012222601484,1.0,3.157196726277789e-17,0.5523012222601484,1.0,0.0,,,0.0,,,13.779764223098756,0.0024335531568442084,0.09714522833921767
l1tcl_gold_dim_sweep,1a9d63883567,ProposedB_LinearStepB,OracleTargetTreated,200,200,5000,10,,0.18392980623670036,0.027860588765932986,0.1768663442486099,5,-0.08545904521824431,0.0364469115403782,-0.08254016660144167,5,0.028760781128612866,0.02683877111351546,0.015540166601441696,5,-0.01845904521824433,0.0364469115403782,-0.015540166601441696,5,,,,0,,,,0,0.0,0.0,0.0,5,,,,0,,,,0,,,,0,-0.06699999999999999,0.0,-0.06699999999999999,5,-0.06699999999999999,0.0,-0.06699999999999999,5,-1.545429252967673e-17,2.685822519241211e-17,-1.3229325567498195e-17,5,-0.06700000000000024,1.8358587643600646e-17,-0.06700000000000023,5,1.0,0.0,1.0,5,0.14345112225206866,0.021514742467504917,0.13678067743800973,5,0.34909637181855946,0.05488716911154582,0.3420362241355676,5,-0.2107658744019986,0.8340868511313002,-0.31188911812165193,5,0.02047519999999995,0.005113245808681632,0.02110499999999993,5,-0.20369067440199867,0.8302808995095643,-0.29855611812165195,5,5.620504062164855e-17,9.565863603601011e-17,3.469446951953614e-18,5,0.02377370055788416,0.012378193087786045,0.01731197864763979,5,88.0,5.522680508593631,89.0,5,1.9425971988085844,0.06145466198483957,1.9177505960337773,5,10.0,0.0,10.0,5,193.1858717441559,17.255860729171054,186.06779146194458,5,-0.8339912522864881,0.007195680279359663,0.813111871567642,-0.22534217462581219,0.6585417245210575,1.0,-0.8865062685399587,0.010036665365823655,1.0,-0.22534217462581213,0.6585417245210576,1.0,0.0,,,0.0,,,0.0,,,-1.388477592891136e-17,0.3416715610504437,1.0,5.551115123125783e-18,0.47662066727284136,1.0,0.0,,,-0.7983095321399112,0.010093146033470852,1.0,-1.2578599807217303,0.0024690557729814076,0.3308534735795086,0.021989400000000037,0.15917461866101443,1.0,-0.021989400000000037,0.15917461866101443,1.0,-4.232725281383409e-17,0.3999209265087336,1.0,4.232725281383409e-17,0.3999209265087336,1.0,0.02377370055788416,0.012699607451962202,0.4571858682706393,88.0,3.7034204786781875e-06,0.00019257786489126574,181.8194348335266,2.1190739841742542e-05,0.0028874108181058326
l1tcl_gold_dim_sweep,1a9d63883567,ProposedB_SourceDR,FeasibleRestricted,200,200,5000,10,,0.05977893572541685,0.006042677926767229,0.062313822454042815,5,-0.07713921985854737,0.02806508413841874,-0.07803072539617541,5,0.022993194975121287,0.01597795052303476,0.027191641650619283,5,-0.010139219858547384,0.028065084138418742,-0.011030725396175431,5,,,,0,,,,0,0.0,0.0,0.0,5,,,,0,,,,0,,,,0,-0.06699999999999999,0.0,-0.06699999999999999,5,-0.06699999999999999,0.0,-0.06699999999999999,5,7.19991564827053e-17,1.5107062751751426e-16,5.991222396063193e-17,5,-0.06700000000000025,3.925231146709438e-17,-0.06700000000000027,5,1.0,0.0,1.0,5,0.046262336717637166,0.00563652438981559,0.046688316501434464,5,0.11840127145118803,0.01982100605631315,0.1240437332474275,5,-0.19628047440199856,0.8290239041839289,-0.29453611812165187,5,0.005989799999999918,0.005557891299764748,0.0034169999999997813,5,-0.20369067440199867,0.8302808995095643,-0.29855611812165195,5,5.759281940243e-17,9.474830316831539e-17,1.0408340855860843e-17,5,0.016229691947035177,0.00753675246082466,0.013562530795860402,5,77.6,9.889388252060893,83.0,5,1.9425971988085837,0.06145466198483901,1.917750596033777,5,10.0,0.0,10.0,5,101.80702881813049,6.093452087109894,102.76744866371155,5,-0.9581421227977716,0.005104016683434088,0.6788342188967338,-0.2170223492661152,0.6823574609990506,1.0,-0.8922738546934503,0.011718429136976627,1.0,-0.2170223492661152,0.6823574609990506,1.0,0.0,,,0.0,,,0.0,,,7.356867308347066e-17,0.33549275903312753,1.0,0.0,1.0,1.0,0.0,,,-0.8954983176743425,0.007635291358824497,0.9544114198530621,-1.4885550810891015,0.0017323552520864336,0.24599444579627358,0.03647480000000007,0.08159622447478188,1.0,-0.03647480000000007,0.08159622447478188,1.0,-4.371503159461554e-17,0.3823837816044888,1.0,4.371503159461554e-17,0.3823837816044888,1.0,0.016229691947035177,0.008553080018747723,0.38488860084364757,77.6,6.195773950017062e-05,0.002726140538007507,90.44059190750122,3.403841742374167e-06,0.0005275954700679959
