benchmark_id,scenario_id,rep,method,feasibility,seed,m0,m1,n_proxy_total,C_sources,nontransfer_scale,pehe,ate_hat,ate_abs_err,ate_bias,tau_corr,tau_kendall,qini_auc,topk_10_ratio,topk_20_ratio,topk_30_ratio,topk_10_captured,topk_20_captured,calib_slope,calib_intercept,calib_r2,tau_ece,tau_mce,policy_value,policy_regret,policy_value_top20,policy_regret_top20,stage2_lambda,stage2_n_selected,stepb_M_fro_norm,stepb_M_effective_rank,runtime_sec
l1tcl_gold_dim_sweep,4bd4e19c6458,18,TargetOnlyDR,OracleTargetTreated,67997750,50,50,5000,10,,0.34080578805311995,0.05325477886949038,0.12025477886949035,0.12025477886949035,,,0.0,,,,-0.06699999999999999,-0.06699999999999999,-7.958345392013071e-18,-0.06700000000000027,1.0,0.2707889843056539,0.677990077950008,0.12070164272579544,0.038458000000000006,0.14575964272579545,-2.7755575615628914e-17,0.0,0.0,,,5.361193656921387
l1tcl_gold_dim_sweep,4bd4e19c6458,18,ProxyOnly,FeasibleRestricted,67997750,50,50,5000,10,,0.37561839895664345,0.07517821568525943,0.1421782156852594,0.1421782156852594,,,0.0,,,,-0.06699999999999999,-0.06699999999999999,2.5912227094398514e-17,-0.06700000000000025,1.0,0.30370181813902764,0.7457237472595059,0.11996464272579545,0.039194999999999994,0.14575964272579545,-2.7755575615628914e-17,0.0,0.0,,,4.471920728683472
l1tcl_gold_dim_sweep,4bd4e19c6458,18,AnchorOnly,OracleTargetTreated,67997750,50,50,5000,10,,0.28368799717707627,0.031905848519961595,0.09890584851996156,0.09890584851996156,,,0.0,,,,-0.06699999999999999,-0.06699999999999999,2.152450759969314e-17,-0.06700000000000023,1.0,0.2171701058005841,0.6134140673169264,0.12478864272579544,0.034371,0.14575964272579545,-2.7755575615628914e-17,0.03361463251207048,0.0,,,6.71199631690979
l1tcl_gold_dim_sweep,4bd4e19c6458,18,AnchorPlugin,FeasibleRestricted,67997750,50,50,5000,10,,0.1802171777779278,0.021703338121677844,0.08870333812167783,0.08870333812167783,,,0.0,,,,-0.06699999999999999,-0.06699999999999999,-1.5182115164432163e-17,-0.06700000000000024,1.0,0.1435743541351342,0.37275033316809214,0.12217564272579545,0.03698399999999999,0.14575964272579545,-2.7755575615628914e-17,0.12167304397696109,0.0,,,4.139616966247559
l1tcl_gold_dim_sweep,4bd4e19c6458,18,ProposedA_FullyDirect,OracleTargetTreated,67997750,50,50,5000,10,,0.3053665871155755,0.07847741974216502,0.145477419742165,0.145477419742165,,,0.0,,,,-0.06699999999999999,-0.06699999999999999,1.0907895354983437e-17,-0.06700000000000027,1.0,0.2340396606934678,0.6578918082747284,0.12076864272579545,0.038390999999999995,0.14575964272579545,-2.7755575615628914e-17,0.0,0.0,,,5.509526491165161
l1tcl_gold_dim_sweep,4bd4e19c6458,18,ProposedB_LinearStepB,OracleTargetTreated,67997750,50,50,5000,10,,0.28834210179390973,0.032282364827750806,0.09928236482775078,0.09928236482775078,,,0.0,,,,-0.06699999999999999,-0.06699999999999999,2.0615431156588927e-17,-0.06700000000000025,1.0,0.21999051799408492,0.6257477251312482,0.12458764272579545,0.03457199999999999,0.14575964272579545,-2.7755575615628914e-17,0.1225136985705175,0.0,0.005665783530256385,2.0,13.598254442214966
l1tcl_gold_dim_sweep,4bd4e19c6458,18,ProposedB_SourceDR,FeasibleRestricted,67997750,50,50,5000,10,,0.04714706319638001,-0.08171484768437264,0.014714847684372659,-0.014714847684372659,,,0.0,,,,-0.06699999999999999,-0.06699999999999999,-2.325951332503539e-16,-0.06700000000000027,1.0,0.03175592606005835,0.1093187925642231,0.15788664272579545,0.0012729999999999964,0.14575964272579545,-2.7755575615628914e-17,0.12003262632856039,0.0,0.005665783530256386,2.0,13.494208335876465
l1tcl_gold_dim_sweep,4bd4e19c6458,18,IPWTransport,FeasibleRestricted,67997750,50,50,5000,10,,0.14348422831387206,-0.02164216885251221,0.045357831147487766,0.045357831147487766,,,0.0,,,,-0.06699999999999999,-0.06699999999999999,-2.039891267053977e-17,-0.06700000000000024,1.0,0.11524984215604267,0.281297406121894,0.12981364272579543,0.02934600000000001,0.14575964272579545,-2.7755575615628914e-17,,,,,0.5655503273010254
l1tcl_gold_dim_sweep,4bd4e19c6458,18,EntropyBalancing,FeasibleRestricted,67997750,50,50,5000,10,,0.22593671002925939,-0.00013645212260331375,0.06686354787739666,0.06686354787739666,,,0.0,,,,-0.06699999999999999,-0.06699999999999999,-7.538136346140432e-18,-0.06700000000000027,1.0,0.1814053210078298,0.43648980733951126,0.12545864272579543,0.03370100000000001,0.14575964272579545,-2.7755575615628914e-17,,,,,0.35929250717163086
l1tcl_gold_dim_sweep,4bd4e19c6458,18,OutcomeModelTransport,FeasibleRestricted,67997750,50,50,5000,10,,0.03108945010031929,-0.07897632336329845,0.011976323363298472,-0.011976323363298472,,,0.0,,,,-0.06699999999999999,-0.06699999999999999,-5.119049462026448e-16,-0.06700000000000028,1.0,0.024628028472103023,0.06300311628523518,0.15902564272579545,0.00013399999999999523,0.14575964272579545,-2.7755575615628914e-17,,,,,0.007749080657958984
l1tcl_gold_dim_sweep,4bd4e19c6458,18,DRLearner_PooledWithSite,OracleTargetTreated,67997750,50,50,5000,10,,0.027398455899399373,-0.0667086454711091,0.0002913545288908831,0.0002913545288908831,,,0.0,,,,-0.06699999999999999,-0.06699999999999999,-4.977455933855929e-16,-0.06700000000000028,1.0,0.021861273813617483,0.04847284485523089,0.15895864272579543,0.00020100000000000673,0.14575964272579545,-2.7755575615628914e-17,,,,,0.13628125190734863
l1tcl_gold_dim_sweep,4bd4e19c6458,18,DRLearner_PooledNoSite,OracleTargetTreated,67997750,50,50,5000,10,,0.02782889626321639,-0.06500559032909341,0.001994409670906569,0.001994409670906569,,,0.0,,,,-0.06699999999999999,-0.06699999999999999,-4.877422903102812e-16,-0.06700000000000027,1.0,0.022133568433615525,0.05062895932458936,0.15882464272579547,0.0003349999999999742,0.14575964272579545,-2.7755575615628914e-17,,,,,0.02286529541015625
l1tcl_gold_dim_sweep,4bd4e19c6458,13,TargetOnlyDR,OracleTargetTreated,893682751,50,50,5000,10,,0.4000867998645259,0.02950079431686941,0.09650079431686939,0.09650079431686939,,,0.0,,,,-0.06699999999999999,-0.06699999999999999,3.727892134307666e-18,-0.0670000000000002,1.0,0.3162195721030506,0.8102514963538866,-0.3779820546652604,0.034706000000000015,-0.35667605466526037,-5.551115123125783e-17,0.0,0.0,,,5.227075815200806
l1tcl_gold_dim_sweep,4bd4e19c6458,13,ProxyOnly,FeasibleRestricted,893682751,50,50,5000,10,,0.42108289706939594,0.24144647030030533,0.3084464703003053,0.3084464703003053,,,0.0,,,,-0.06699999999999999,-0.06699999999999999,8.053682266521486e-18,-0.06700000000000025,1.0,0.34377573358233904,0.8265154370542758,-0.39647405466526037,0.05319799999999997,-0.35667605466526037,-5.551115123125783e-17,0.0,0.0,,,4.40182638168335
l1tcl_gold_dim_sweep,4bd4e19c6458,13,AnchorOnly,OracleTargetTreated,893682751,50,50,5000,10,,0.31108644408891156,0.018968211978303527,0.08596821197830351,0.08596821197830351,,,0.0,,,,-0.06699999999999999,-0.06699999999999999,-1.928421719348412e-18,-0.06700000000000027,1.0,0.2507394318403764,0.6004615245855734,-0.3787860546652604,0.035509999999999986,-0.35667605466526037,-5.551115123125783e-17,0.04240062970463384,0.0,,,6.584498405456543
l1tcl_gold_dim_sweep,4bd4e19c6458,13,AnchorPlugin,FeasibleRestricted,893682751,50,50,5000,10,,0.2821256546842208,0.15893785188026,0.22593785188025997,0.22593785188025997,,,0.0,,,,-0.06699999999999999,-0.06699999999999999,4.9204948601465774e-17,-0.06700000000000025,1.0,0.24001815807089216,0.5320338985676327,-0.39915405466526044,0.05587800000000004,-0.35667605466526037,-5.551115123125783e-17,0.10237132208837169,0.0,,,3.632237672805786
l1tcl_gold_dim_sweep,4bd4e19c6458,13,ProposedA_FullyDirect,OracleTargetTreated,893682751,50,50,5000,10,,0.37449150316313945,0.057894838748987286,0.12489483874898727,0.12489483874898727,,,0.0,,,,-0.06699999999999999,-0.06699999999999999,2.5265062218720597e-18,-0.06700000000000024,1.0,0.2968795835242596,0.771749684911102,-0.37918805466526045,0.035912000000000055,-0.35667605466526037,-5.551115123125783e-17,0.0,0.0,,,6.177241563796997
l1tcl_gold_dim_sweep,4bd4e19c6458,13,ProposedB_LinearStepB,OracleTargetTreated,893682751,50,50,5000,10,,0.30441347537511626,0.018600884049632498,0.08560088404963248,0.08560088404963248,,,0.0,,,,-0.06699999999999999,-0.06699999999999999,9.054311085236557e-19,-0.06700000000000021,1.0,0.24443989178970277,0.5927503535303396,-0.37811605466526044,0.03484000000000004,-0.35667605466526037,-5.551115123125783e-17,0.11070355436773882,0.0,0.046774495712974505,2.0,13.325552701950073
l1tcl_gold_dim_sweep,4bd4e19c6458,13,ProposedB_SourceDR,FeasibleRestricted,893682751,50,50,5000,10,,0.06440625032564323,-0.07192299010912984,0.00492299010912986,-0.00492299010912986,,,0.0,,,,-0.06699999999999999,-0.06699999999999999,1.7112279706242508e-17,-0.06700000000000024,1.0,0.04614206672475299,0.11921466573520377,-0.3500430546652604,0.006767000000000023,-0.35667605466526037,-5.551115123125783e-17,0.09644846136437567,0.0,0.04677449571297449,2.0,12.995174884796143
l1tcl_gold_dim_sweep,4bd4e19c6458,13,IPWTransport,FeasibleRestricted,893682751,50,50,5000,10,,0.10893171509869658,-0.027862048359740113,0.03913795164025986,0.03913795164025986,,,0.0,,,,-0.06699999999999999,-0.06699999999999999,1.627015637727461e-16,-0.06700000000000023,1.0,0.08619486080371697,0.21758422200565303,-0.36920505466526043,0.025929000000000035,-0.3566760546652604,0.0,,,,,0.5418307781219482
l1tcl_gold_dim_sweep,4bd4e19c6458,13,EntropyBalancing,FeasibleRestricted,893682751,50,50,5000,10,,0.19041991222638965,-0.04310495178097384,0.02389504821902614,0.02389504821902614,,,0.0,,,,-0.06699999999999999,-0.06699999999999999,8.607957167498724e-17,-0.06700000000000024,1.0,0.15132570475778245,0.3509230161048776,-0.3715500546652604,0.02827400000000002,-0.3566760546652604,0.0,,,,,1.3922765254974365
l1tcl_gold_dim_sweep,4bd4e19c6458,13,OutcomeModelTransport,FeasibleRestricted,893682751,50,50,5000,10,,0.0488519396982027,-0.045952165227412814,0.021047834772587162,0.021047834772587162,,,0.0,,,,-0.06699999999999999,-0.06699999999999999,2.109040469070672e-16,-0.06700000000000025,1.0,0.03903360413733997,0.09813743635253896,-0.35386205466526044,0.01058600000000004,-0.35667605466526037,-5.551115123125783e-17,,,,,0.08442258834838867
l1tcl_gold_dim_sweep,4bd4e19c6458,13,DRLearner_PooledWithSite,OracleTargetTreated,893682751,50,50,5000,10,,0.05243240967086692,-0.04012562617006067,0.026874373829939305,0.026874373829939305,,,0.0,,,,-0.06699999999999999,-0.06699999999999999,2.268826926555561e-16,-0.06700000000000023,1.0,0.04211004449638597,0.10560202227735137,-0.35553705466526037,0.012260999999999966,-0.35667605466526037,-5.551115123125783e-17,,,,,0.29465365409851074
l1tcl_gold_dim_sweep,4bd4e19c6458,13,DRLearner_PooledNoSite,OracleTargetTreated,893682751,50,50,5000,10,,0.051156864378715965,-0.04264636194860927,0.024353638051390708,0.024353638051390708,,,0.0,,,,-0.06699999999999999,-0.06699999999999999,2.2052513941663282e-16,-0.06700000000000024,1.0,0.04102873216114072,0.10293007901968657,-0.3548670546652604,0.011591000000000018,-0.35667605466526037,-5.551115123125783e-17,,,,,0.1135246753692627
l1tcl_gold_dim_sweep,4bd4e19c6458,11,TargetOnlyDR,OracleTargetTreated,633249427,50,50,5000,10,,0.3428037955357783,-0.0009494376857393317,0.06605056231426064,0.06605056231426064,,,0.0,,,,-0.06699999999999999,-0.06699999999999999,4.324261094304891e-18,-0.06700000000000023,1.0,0.2650150245633324,0.68606340219669,-0.012428820180189027,0.031892000000000004,0.0060631798198109745,3.469446951953614e-18,0.0,0.0,,,5.31072998046875
